PitchNo,Date,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,ExitSpeed,,,
107,2024-09-13,6,3,,,UCO_AVP,"Groen, Carter",Right,UCO_HUS,3,Bottom,1,0,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
108,2024-09-13,6,4,,,UCO_AVP,"Groen, Carter",Right,UCO_HUS,3,Bottom,1,1,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,
109,2024-09-13,6,5,,,UCO_AVP,"Groen, Carter",Right,UCO_HUS,3,Bottom,1,1,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
110,2024-09-13,6,6,,,UCO_AVP,"Groen, Carter",Right,UCO_HUS,3,Bottom,1,2,2,Slider,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,,,
111,2024-09-13,6,7,,,UCO_AVP,"Groen, Carter",Right,UCO_HUS,3,Bottom,1,2,2,Slider,StrikeSwinging,Strikeout,Undefined,Out,1,0,,,,
112,2024-09-13,7,1,,,UCO_AVP,"Daniels, Ryan",Left,UCO_HUS,3,Bottom,2,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
113,2024-09-13,7,2,,,UCO_AVP,"Daniels, Ryan",Left,UCO_HUS,3,Bottom,2,1,0,Fastball,InPlay,Undefined,FlyBall,Error,0,1,98.7,,,
114,2024-09-13,8,1,,,UCO_AVP,"Shpur, Caleb",Right,UCO_HUS,3,Bottom,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
115,2024-09-13,8,2,,,UCO_AVP,"Shpur, Caleb",Right,UCO_HUS,3,Bottom,2,1,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
116,2024-09-13,8,3,,,UCO_AVP,"Shpur, Caleb",Right,UCO_HUS,3,Bottom,2,2,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,
